"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.496525060E-1,-9.954602718E-1,-1.133940578E0,1.458037734E0,2.098246034E0
5.521370370E-1,-1.003982067E0,-1.176549911E0,1.504907966E0,2.158007801E0
5.546215690E-1,-1.008243084E0,-1.213832974E0,1.554973960E0,2.215375504E0
5.571060480E-1,-1.006112576E0,-1.237268209E0,1.600778937E0,2.259554899E0
5.595905790E-1,-9.997211695E-1,-1.246855259E0,1.638994217E0,2.289190358E0
5.620751100E-1,-9.880036116E-1,-1.226615787E0,1.660298824E0,2.288521272E0
5.645591210E-1,-9.730903506E-1,-1.171223760E0,1.661364079E0,2.253619428E0
5.670235480E-1,-9.496552348E-1,-1.083874583E0,1.627409697E0,2.173727558E0
5.695075580E-1,-9.155677557E-1,-9.583102465E-1,1.543256402E0,2.034272147E0
5.719915690E-1,-8.644366264E-1,-8.155690432E-1,1.423950195E0,1.854733863E0
5.744755790E-1,-8.058487773E-1,-6.717625856E-1,1.289730906E0,1.662547153E0
5.769595900E-1,-7.419347763E-1,-5.844134688E-1,1.156576753E0,1.493209999E0
5.794436000E-1,-6.877411008E-1,-5.588479042E-1,1.045792580E0,1.370759250E0
5.819276100E-1,-6.344794035E-1,-5.620435476E-1,9.457937479E-1,1.270032628E0
5.844119850E-1,-5.844134688E-1,-5.609783530E-1,8.552489877E-1,1.178001123E0
5.869101100E-1,-5.300865769E-1,-5.535216928E-1,7.774869800E-1,1.091725262E0
5.893944850E-1,-4.736292362E-1,-5.354127288E-1,7.071815729E-1,1.005533302E0
5.918788600E-1,-4.171718955E-1,-5.162385702E-1,6.411371231E-1,9.228171338E-1
5.943632870E-1,-3.553883731E-1,-4.853467941E-1,5.761579275E-1,8.329588008E-1
5.968476620E-1,-2.925396264E-1,-4.512593448E-1,5.133091807E-1,7.434384603E-1
5.993320370E-1,-2.275604010E-1,-4.086500108E-1,4.525908828E-1,6.508587209E-1
6.018164120E-1,-1.636464298E-1,-3.469996452E-1,4.005276263E-1,5.546271605E-1
6.043001620E-1,-9.986559302E-2,-2.660419345E-1,3.600487709E-1,4.586791526E-1
6.067589120E-1,-3.701684624E-2,-1.978670359E-1,3.440702558E-1,3.986300938E-1
6.092426100E-1,1.944050193E-2,-1.371487528E-1,3.621792197E-1,3.877647492E-1
6.117263600E-1,6.950645149E-2,-9.347419441E-2,4.069190025E-1,4.232630936E-1
6.142101100E-1,1.046591476E-1,-6.258244067E-2,4.600475132E-1,4.759346736E-1
6.166938080E-1,1.238333359E-1,-6.790860742E-2,5.090482235E-1,5.282767910E-1
6.191775580E-1,1.366161406E-1,-1.094526947E-1,5.601794124E-1,5.868942292E-1
6.216613080E-1,1.483336985E-1,-1.829537749E-1,6.177020073E-1,6.610830051E-1
6.241451100E-1,1.579207927E-1,-2.745638192E-1,6.848116517E-1,7.545139269E-1
6.266312560E-1,1.685731262E-1,-3.651086092E-1,7.593780160E-1,8.592881743E-1
6.291150060E-1,1.770949960E-1,-4.459331632E-1,8.414009213E-1,9.685941018E-1
6.315988080E-1,1.866820902E-1,-5.098471642E-1,9.330109954E-1,1.079492404E0
6.340826100E-1,1.866820902E-1,-5.343475342E-1,1.017164350E0,1.164045018E0
6.365664120E-1,1.696383655E-1,-5.055862069E-1,1.093728065E0,1.216813736E0
6.390502150E-1,1.419423074E-1,-4.395417869E-1,1.159772396E0,1.248365576E0
6.415339650E-1,9.933298081E-2,-3.629781604E-1,1.216229796E0,1.273120224E0
6.440178710E-1,5.672365800E-2,-2.756290436E-1,1.270556688E0,1.301346703E0
6.465069850E-1,3.462007269E-3,-1.904104054E-1,1.321687818E0,1.335337708E0
6.489908920E-1,-5.832150951E-2,-1.147788614E-1,1.372819066E0,1.378842911E0
6.514747980E-1,-1.263632625E-1,-5.619104207E-2,1.426080704E0,1.432770491E0
6.539587560E-1,-2.009295821E-1,-2.316881903E-2,1.481472850E0,1.495216137E0
6.564426620E-1,-2.840177417E-1,-9.320789017E-3,1.536864996E0,1.562916175E0
6.589265690E-1,-3.671059310E-1,-1.358172111E-2,1.590126634E0,1.632009172E0
6.614105270E-1,-4.523245692E-1,-3.808208182E-2,1.634733200E0,1.696584922E0
6.638949540E-1,-5.386084318E-1,-7.216953486E-2,1.676277280E0,1.762161458E0
6.663984960E-1,-6.174356937E-1,-1.126483902E-1,1.710364819E0,1.821884823E0
6.688829230E-1,-6.877411008E-1,-1.499315500E-1,1.743386984E0,1.880123790E0
6.713673500E-1,-7.579132915E-1,-1.744319052E-1,1.768952608E0,1.932369627E0
6.738517770E-1,-8.154358864E-1,-1.989322603E-1,1.789191961E0,1.976288846E0
6.763362040E-1,-8.676322699E-1,-2.138455361E-1,1.803040028E0,2.012329250E0
6.788206310E-1,-9.091764092E-1,-2.266283184E-1,1.814757586E0,2.042377838E0
6.813050580E-1,-9.390029311E-1,-2.458025217E-1,1.824344754E0,2.066489576E0
6.837893810E-1,-9.656337500E-1,-2.766942680E-1,1.832866549E0,2.090073694E0
6.862692250E-1,-9.837427139E-1,-3.118469715E-1,1.839257956E0,2.108996939E0
6.887535480E-1,-9.965254664E-1,-3.544562757E-1,1.843518853E0,2.125385616E0
6.912378190E-1,-1.003982067E0,-4.118457139E-1,1.850975513E0,2.145625138E0
6.937221420E-1,-1.012503982E0,-4.693683088E-1,1.856301665E0,2.165947090E0
6.962064650E-1,-1.012503982E0,-5.354127288E-1,1.861627817E0,2.185746836E0
6.986907870E-1,-1.010373473E0,-6.089138389E-1,1.863758326E0,2.205725666E0
